TS,Sequence,Node,Millis,Sensor,Reading,ReadingUnits,Memo,RSSI,OriginId
2013-11-07 11:50:19,R3947,Proto1,3104397,SHT15-Temp-F,-44.608,F,,-80,0
2013-11-07 11:50:19,R3948,Proto1,3104493,SHT15-RH,-13.84,%RH,,-78,0
2013-11-07 11:50:19,R10,Mote2,12512,BATT-R,147.00,raw,,-79,0
2013-11-07 11:50:19,R3950,Proto1,3104865,BATT-V,3.30,volts,,-79,0
2013-11-07 11:50:19,R3951,Proto1,3104958,DUM,3.14,na,,-81,0
2013-11-07 11:50:20,R3953,Proto1,3105128,BMP-Temp,28.24,C,,-79,0
2013-11-07 11:50:20,R3953,Proto1,3105128,BMP-Temp-F,82.832,F,,-79,0
2013-11-07 11:50:20,R3956,Proto1,3106265,Dallas,28.88,C,,-82,0
2013-11-07 11:50:20,R3956,Proto1,3106265,Dallas-F,83.984,F,,-82,0
2013-11-07 11:50:25,R3957,Proto1,3111014,SHT15-Temp,-42.56,C,,-79,0
2013-11-07 11:50:25,R3957,Proto1,3111014,SHT15-Temp-F,-44.608,F,,-79,0
2013-11-07 11:50:25,R3962,Proto1,3111430,LUX-FLT,136.00,lux,,-82,0
2013-11-07 11:50:26,R15,Mote2,18728,BATT-R,147.00,raw,,-77,0
2013-11-07 11:50:26,R17,Mote2,18875,LUX-FLT,159.00,lux,,-82,0
2013-11-07 11:50:27,R19,Mote2,19853,Dallas,22.13,C,,-79,0
2013-11-07 11:50:27,R19,Mote2,19853,Dallas-F,71.834,F,,-79,0
2013-11-07 11:50:32,R3967,Proto1,3117563,SHT15-Temp,-42.56,C,,-79,0
2013-11-07 11:50:32,R3967,Proto1,3117563,SHT15-Temp-F,-44.608,F,,-79,0
2013-11-07 11:50:32,R3970,Proto1,3117777,BATT-V,3.19,volts,,-83,0
2013-11-07 11:50:32,R3973,Proto1,3118008,BMP-Temp,28.29,C,,-80,0
2013-11-07 11:50:32,R3973,Proto1,3118008,BMP-Temp-F,82.922,F,,-80,0
2013-11-07 11:50:32,R20,Mote2,24925,BATT-R,148.00,raw,,-79,0
2013-11-07 11:50:32,R20,Mote2,24925,BATT-R,148.00,raw,,-84,0
2013-11-07 11:50:32,R22,Mote2,25058,LUX-FLT,174.00,lux,,-80,0
2013-11-07 11:50:33,R23,Mote2,25147,LUX-LOW,654.00,lux,,-80,0
2013-11-07 11:50:33,R3976,Proto1,3119070,Dallas,29.00,C,,-84,0
2013-11-07 11:50:33,R3976,Proto1,3119070,Dallas-F,84.2,F,,-84,0
2013-11-07 11:50:34,R24,Mote2,26028,Dallas,22.13,C,,-75,0
2013-11-07 11:50:34,R24,Mote2,26028,Dallas-F,71.834,F,,-75,0
2013-11-07 11:50:38,R3977,Proto1,3123812,SHT15-Temp,-42.56,C,,-81,0
2013-11-07 11:50:38,R3977,Proto1,3123812,SHT15-Temp-F,-44.608,F,,-81,0
2013-11-07 11:50:38,R3979,Proto1,3123973,Radio-Temp,28.00,C,,-76,0
2013-11-07 11:50:38,R3979,Proto1,3123973,Radio-Temp-F,82.4,F,,-76,0
2013-11-07 11:50:39,R3982,Proto1,3124246,LUX-FLT,133.00,lux,,-80,0
2013-11-07 11:50:39,R25,Mote2,31107,BATT-R,147.00,raw,,-82,0
2013-11-07 11:50:39,R3986,Proto1,3125478,Dallas,29.06,C,,-81,0
2013-11-07 11:50:39,R3986,Proto1,3125478,Dallas-F,84.308,F,,-81,0
2013-11-07 11:50:40,R29,Mote2,32203,Dallas,22.13,C,,-78,0
2013-11-07 11:50:40,R29,Mote2,32203,Dallas-F,71.834,F,,-78,0
2013-11-07 11:50:44,R3987,Proto1,3130145,SHT15-Temp,-42.56,C,,-77,0
2013-11-07 11:50:44,R3987,Proto1,3130145,SHT15-Temp-F,-44.608,F,,-77,0
2013-11-07 11:50:44,R3989,Proto1,3130289,Radio-Temp,28.00,C,,-79,0
2013-11-07 11:50:44,R3989,Proto1,3130289,Radio-Temp-F,82.4,F,,-79,0
2013-11-07 11:50:45,R3991,Proto1,3130435,DUM,3.14,na,,-82,0
2013-11-07 11:50:45,R3992,Proto1,3130544,LUX-FLT,133.00,lux,,-80,0
2013-11-07 11:50:45,R3995,Proto1,3130875,MDWIND,715.00,raw,,-79,0
2013-11-07 11:50:46,R30,Mote2,37263,BATT-R,147.00,raw,,-78,0
2013-11-07 11:50:46,R32,Mote2,37430,LUX-FLT,159.00,lux,,-81,0
2013-11-07 11:50:46,R33,Mote2,37485,LUX-LOW,638.00,lux,,-80,0
2013-11-07 11:50:47,R34,Mote2,38366,Dallas,22.13,C,,-80,0
2013-11-07 11:50:47,R34,Mote2,38366,Dallas-F,71.834,F,,-80,0
2013-11-07 11:50:51,R3997,Proto1,3136541,SHT15-Temp,-42.56,C,,-79,0
2013-11-07 11:50:51,R3997,Proto1,3136541,SHT15-Temp-F,-44.608,F,,-79,0
2013-11-07 11:50:51,R3999,Proto1,3136667,Radio-Temp,28.00,C,,-81,0
2013-11-07 11:50:51,R3999,Proto1,3136667,Radio-Temp-F,82.4,F,,-81,0
2013-11-07 11:50:51,R4000,Proto1,3136757,BATT-V,3.26,volts,,-76,0
2013-11-07 11:50:51,R4002,Proto1,3136893,LUX-FLT,132.00,lux,,-81,0
2013-11-07 11:50:53,R35,Mote2,43428,BATT-R,147.00,raw,,-79,0
2013-11-07 11:50:53,R37,Mote2,43597,LUX-FLT,149.00,lux,,-78,0
2013-11-07 11:50:54,R39,Mote2,44588,Dallas,22.13,C,,-79,0
2013-11-07 11:50:54,R39,Mote2,44588,Dallas-F,71.834,F,,-79,0
2013-11-07 11:50:58,R4007,Proto1,3144352,SHT15-Temp,-42.56,C,,-79,0
2013-11-07 11:50:58,R4007,Proto1,3144352,SHT15-Temp-F,-44.608,F,,-79,0
2013-11-07 11:50:59,R4008,Proto1,3144419,SHT15-RH,-13.84,%RH,,-79,0
2013-11-07 11:50:59,R4013,Proto1,3144867,BMP-Temp,28.38,C,,-82,0
2013-11-07 11:50:59,R4013,Proto1,3144867,BMP-Temp-F,83.084,F,,-82,0
2013-11-07 11:50:59,R41,Mote2,49735,BATT-V,5.22,volts,,-86,0
2013-11-07 11:51:00,R43,Mote2,49876,LUX-LOW,647.00,lux,,-83,0
2013-11-07 11:51:00,R4016,Proto1,3146005,Dallas,29.06,C,,-83,0
2013-11-07 11:51:00,R4016,Proto1,3146005,Dallas-F,84.308,F,,-83,0
2013-11-07 11:51:00,R44,Mote2,50758,Dallas,22.13,C,,-79,0
2013-11-07 11:51:00,R44,Mote2,50758,Dallas-F,71.834,F,,-79,0
2013-11-07 11:51:05,R4017,Proto1,3150761,SHT15-Temp,-42.56,C,,-83,0
2013-11-07 11:51:05,R4017,Proto1,3150761,SHT15-Temp-F,-44.608,F,,-83,0
2013-11-07 11:51:05,R4019,Proto1,3150908,Radio-Temp,28.00,C,,-82,0
2013-11-07 11:51:05,R4019,Proto1,3150908,Radio-Temp-F,82.4,F,,-82,0
2013-11-07 11:51:05,R4020,Proto1,3150997,BATT-V,3.16,volts,,-78,0
2013-11-07 11:51:05,R4021,Proto1,3151089,DUM,3.14,na,,-78,0
2013-11-07 11:51:05,R4023,Proto1,3151301,BMP-Temp,28.36,C,,-77,0
2013-11-07 11:51:05,R4023,Proto1,3151301,BMP-Temp-F,83.048,F,,-77,0
2013-11-07 11:51:06,R4024,Proto1,3151379,BMP-Pressure,100264.00,Pa,,-82,0
2013-11-07 11:51:06,R45,Mote2,55824,BATT-R,148.00,raw,,-81,0
2013-11-07 11:51:07,R4026,Proto1,3152387,Dallas,29.06,C,,-80,0
2013-11-07 11:51:07,R4026,Proto1,3152387,Dallas-F,84.308,F,,-80,0
2013-11-07 11:51:07,R49,Mote2,56952,Dallas,22.13,C,,-81,0
2013-11-07 11:51:07,R49,Mote2,56952,Dallas-F,71.834,F,,-81,0
2013-11-07 11:51:11,R4027,Proto1,3157136,SHT15-Temp,-42.56,C,,-80,0
2013-11-07 11:51:11,R4027,Proto1,3157136,SHT15-Temp-F,-44.608,F,,-80,0
2013-11-07 11:51:13,R50,Mote2,62022,BATT-R,148.00,raw,,-81,0
2013-11-07 11:51:13,R4028,Proto1,3157237,SHT15-RH,-13.84,%RH,,-83,0
2013-11-07 11:51:13,R4032,Proto1,3158935,LUX-FLT,130.00,lux,,-80,0
2013-11-07 11:51:14,R54,Mote2,63175,Dallas,22.13,C,,-80,0
2013-11-07 11:51:14,R54,Mote2,63175,Dallas-F,71.834,F,,-80,0
2013-11-07 11:51:14,R4036,Proto1,3160164,Dallas,29.00,C,,-81,0
2013-11-07 11:51:14,R4036,Proto1,3160164,Dallas-F,84.2,F,,-81,0
2013-11-07 11:51:19,R4037,Proto1,3164833,SHT15-Temp,-42.56,C,,-79,0
2013-11-07 11:51:19,R4037,Proto1,3164833,SHT15-Temp-F,-44.608,F,,-79,0
2013-11-07 11:51:19,R4041,Proto1,3165143,DUM,3.14,na,,-79,0
2013-11-07 11:51:19,R4042,Proto1,3165252,LUX-FLT,130.00,lux,,-81,0
2013-11-07 11:51:20,R57,Mote2,68419,LUX-FLT,143.00,lux,,-85,0
2013-11-07 11:51:20,R4045,Proto1,3165736,MDWIND,673.00,raw,,-76,0
2013-11-07 11:51:21,R59,Mote2,69401,Dallas,22.19,C,,-80,0
2013-11-07 11:51:21,R59,Mote2,69401,Dallas-F,71.942,F,,-80,0
2013-11-07 11:51:26,R4047,Proto1,3171393,SHT15-Temp,-42.56,C,,-82,0
2013-11-07 11:51:26,R4047,Proto1,3171393,SHT15-Temp-F,-44.608,F,,-82,0
2013-11-07 11:51:26,R60,Mote2,74475,BATT-R,148.00,raw,,-31,0
2013-11-07 11:51:27,R4052,Proto1,3172308,LUX-FLT,131.00,lux,,-79,0
2013-11-07 11:51:27,R4054,Proto1,3172542,BMP-Pressure,100259.00,Pa,,-80,0
2013-11-07 11:51:27,R64,Mote2,75620,Dallas,22.13,C,,-81,0
2013-11-07 11:51:27,R64,Mote2,75620,Dallas-F,71.834,F,,-81,0
2013-11-07 11:51:28,R4056,Proto1,3173478,Dallas,28.81,C,,-77,0
2013-11-07 11:51:28,R4056,Proto1,3173478,Dallas-F,83.858,F,,-77,0
2013-11-07 11:51:32,R4057,Proto1,3178219,SHT15-Temp,-42.56,C,,-80,0
2013-11-07 11:51:32,R4057,Proto1,3178219,SHT15-Temp-F,-44.608,F,,-80,0
2013-11-07 11:51:33,R65,Mote2,80689,BATT-R,147.00,raw,,-63,0
2013-11-07 11:51:33,R66,Mote2,80768,BATT-V,5.22,volts,,-82,0
2013-11-07 11:51:33,R68,Mote2,80947,LUX-LOW,614.00,lux,,-79,0
2013-11-07 11:51:34,R4060,Proto1,3179065,BATT-V,3.30,volts,,-80,0
2013-11-07 11:51:34,R4065,Proto1,3179646,MDWIND,667.00,raw,,-79,0
2013-11-07 11:51:34,R69,Mote2,81825,Dallas,22.13,C,,-80,0
2013-11-07 11:51:34,R69,Mote2,81825,Dallas-F,71.834,F,,-80,0
2013-11-07 11:51:35,R4066,Proto1,3180551,Dallas,28.75,C,,-79,0
2013-11-07 11:51:35,R4066,Proto1,3180551,Dallas-F,83.75,F,,-79,0
2013-11-07 11:51:39,R4067,Proto1,3185299,SHT15-Temp,-42.56,C,,-81,0
2013-11-07 11:51:39,R4067,Proto1,3185299,SHT15-Temp-F,-44.608,F,,-81,0
2013-11-07 11:51:39,R4068,Proto1,3185323,SHT15-RH,-13.84,%RH,,-79,0
2013-11-07 11:51:40,R4070,Proto1,3185467,BATT-V,3.30,volts,,-79,0
2013-11-07 11:51:40,R73,Mote2,87143,LUX-LOW,614.00,lux,,-81,0
2013-11-07 11:51:40,R4075,Proto1,3185994,MDWIND,657.00,raw,,-80,0
2013-11-07 11:51:41,R74,Mote2,88033,Dallas,22.13,C,,-84,0
2013-11-07 11:51:41,R74,Mote2,88033,Dallas-F,71.834,F,,-84,0
2013-11-07 11:51:41,R4076,Proto1,3186905,Dallas,28.88,C,,-82,0
2013-11-07 11:51:41,R4076,Proto1,3186905,Dallas-F,83.984,F,,-82,0
2013-11-07 11:51:46,R4077,Proto1,3191658,SHT15-Temp,-42.56,C,,-87,0
2013-11-07 11:51:46,R4077,Proto1,3191658,SHT15-Temp-F,-44.608,F,,-87,0
2013-11-07 11:51:46,R4081,Proto1,3192039,DUM,3.14,na,,-86,0
2013-11-07 11:51:46,R4083,Proto1,3192245,BMP-Temp,28.23,C,,-82,0
2013-11-07 11:51:46,R4083,Proto1,3192245,BMP-Temp-F,82.814,F,,-82,0
2013-11-07 11:51:47,R75,Mote2,93102,BATT-R,148.00,raw,,-82,0
2013-11-07 11:51:47,R4086,Proto1,3193336,Dallas,28.94,C,,-80,0
2013-11-07 11:51:47,R4086,Proto1,3193336,Dallas-F,84.092,F,,-80,0
2013-11-07 11:51:52,R4087,Proto1,3198085,SHT15-Temp,-42.56,C,,-82,0
2013-11-07 11:51:52,R4087,Proto1,3198085,SHT15-Temp-F,-44.608,F,,-82,0
2013-11-07 11:51:53,R80,Mote2,99293,BATT-R,147.00,raw,,-85,0
2013-11-07 11:51:54,R4091,Proto1,3199404,DUM,3.14,na,,-81,0
2013-11-07 11:51:54,R4092,Proto1,3199512,LUX-FLT,131.00,lux,,-78,0
2013-11-07 11:51:54,R84,Mote2,100452,Dallas,22.13,C,,-80,0
2013-11-07 11:51:54,R84,Mote2,100452,Dallas-F,71.834,F,,-80,0
